OCC10,SIBS,AGE,EDUC,PAEDUC,MAEDUC,DEGREE,PADEG,MADEG,MAJOR1,MAJOR2,DIPGED,SECTOR,BARATE,SEX,RACE,RES16,REG16,FAMILY16,MAWRKGRW,INCOM16,BORN,PARBORN,GRANBORN,POLVIEWS,INCOME
"Industrial engineers, including health and safety",1.0,41.0,16.0,16.0,18.0,BACHELOR,BACHELOR,GRADUATE,ENGINEERING,,High School diploma,"Public, 4-year or above",58% or over,MALE,WHITE,TOWN LT 50000,SOUTH ATLANTIC,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$60000 TO 74999
Secretaries and administrative assistants,1.0,33.0,16.0,12.0,14.0,BACHELOR,HIGH SCHOOL,JUNIOR COLLEGE,BUSINESS ADMINISTRATION,,High School diploma,"Private not-for-profit, 4-year or above",0-39.9%,FEMALE,WHITE,TOWN LT 50000,SOUTH ATLANTIC,MOTHER & STPFATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,LIBERAL,$30000 TO 34999
Writers and authors,2.0,37.0,20.0,20.0,16.0,BACHELOR,GRADUATE,BACHELOR,PHYSICS,,High School diploma,"Private not-for-profit, 4-year or above",58% or over,MALE,WHITE,BIG-CITY SUBURB,MIDDLE ATLANTIC,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,1.0,,$30000 TO 34999
"Counter attendants, cafeteria, food concession, and coffee shop",3.0,22.0,16.0,16.0,16.0,BACHELOR,BACHELOR,BACHELOR,ENGINEERING,,High School diploma,"Public, 4-year or above",58% or over,MALE,WHITE,BIG-CITY SUBURB,MIDDLE ATLANTIC,MOTHER & FATHER,NO,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$5 000 TO 5 999
"Physical scientists, all other",1.0,30.0,18.0,17.0,17.0,GRADUATE,GRADUATE,GRADUATE,GEOLOGY,,High School diploma,,,MALE,BLACK,CITY GT 250000,FOREIGN,MOTHER & FATHER,YES,FAR ABOVE AVERAGE,NO,NEITHER IN U.S,4.0,MODERATE,$25000 TO 29999
"Transportation, storage, and distribution managers",1.0,40.0,16.0,12.0,12.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,FINANCE,,High School diploma,"Public, 4-year or above",58% or over,MALE,WHITE,TOWN LT 50000,SOUTH ATLANTIC,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$90000 TO $109999
Secondary school teachers,1.0,36.0,17.0,12.0,13.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,EDUCATION,,High School diploma,"Public, 4-year or above",58% or over,FEMALE,WHITE,TOWN LT 50000,SOUTH ATLANTIC,MOTHER & FATHER,NO,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$30000 TO 34999
Secondary school teachers,3.0,35.0,18.0,13.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,EDUCATION,,High School diploma,"Public, 4-year or above",58% or over,FEMALE,WHITE,TOWN LT 50000,SOUTH ATLANTIC,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$35000 TO 39999
Physicians and surgeons,1.0,37.0,16.0,12.0,12.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,BIOLOGY,,High School diploma,"Private not-for-profit, 4-year or above",58% or over,MALE,WHITE,BIG-CITY SUBURB,SOUTH ATLANTIC,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,NEITHER IN U.S,4.0,MODERATE,$130000 TO $149999
"Military, rank not specified",4.0,32.0,14.0,16.0,14.0,JUNIOR COLLEGE,BACHELOR,JUNIOR COLLEGE,ALLIED HEALTH,,High School diploma,,,MALE,WHITE,"COUNTRY,NONFARM",E. SOU. CENTRAL,MOTHER & FATHER,NO,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$50000 TO 59999
Licensed practical and licensed vocational nurses,1.0,36.0,16.0,14.0,12.0,JUNIOR COLLEGE,JUNIOR COLLEGE,HIGH SCHOOL,NURSING,,High School diploma,"Public, 2-year",,FEMALE,WHITE,50000 TO 250000,SOUTH ATLANTIC,MOTHER & FATHER,NO,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$50000 TO 59999
Driver/sales workers and truck drivers,6.0,43.0,19.0,,18.0,GRADUATE,,GRADUATE,HEALTH,PHYSICAL EDUCATION,High School diploma,"Public, 4-year or above",58% or over,MALE,BLACK,CITY GT 250000,PACIFIC,MOTHER,YES,FAR ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,EXTRMLY CONSERVATIVE,$150000 OR OVER
Speech-language  pathologists,2.0,37.0,18.0,9.0,12.0,GRADUATE,LT HIGH SCHOOL,HIGH SCHOOL,COMM. DISORDERS,,High School diploma,"Public, 4-year or above",40-57.9%,FEMALE,WHITE,BIG-CITY SUBURB,SOUTH ATLANTIC,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$50000 TO 59999
Billing and posting clerks,3.0,30.0,16.0,,11.0,BACHELOR,,LT HIGH SCHOOL,BUSINESS ADMINISTRATION,,High School diploma,"Private for-profit, 4-year or above",0-39.9%,FEMALE,BLACK,BIG-CITY SUBURB,SOUTH ATLANTIC,FEMALE RELATIVE,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$35000 TO 39999
"Bookkeeping, accounting, and auditing clerks",4.0,41.0,15.0,12.0,12.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,BUSINESS ADMINISTRATION,,High School diploma,"Public, 2-year",,FEMALE,WHITE,TOWN LT 50000,SOUTH ATLANTIC,MOTHER & STPFATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$35000 TO 39999
Elementary and middle school teachers,0.0,27.0,16.0,16.0,12.0,BACHELOR,BACHELOR,HIGH SCHOOL,EDUCATION,,High School diploma,"Public, 4-year or above",58% or over,FEMALE,WHITE,50000 TO 250000,E. SOU. CENTRAL,MOTHER & FATHER,NO,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$40000 TO 49999
"Computer occupations, all other",0.0,32.0,16.0,,12.0,HIGH SCHOOL,,HIGH SCHOOL,,,High School diploma,,,FEMALE,WHITE,50000 TO 250000,E. SOU. CENTRAL,MOTHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$25000 TO 29999
Elementary and middle school teachers,3.0,41.0,20.0,16.0,13.0,GRADUATE,BACHELOR,HIGH SCHOOL,EDUCATION,,High School diploma,"Private not-for-profit, 4-year or above",,FEMALE,BLACK,BIG-CITY SUBURB,E. SOU. CENTRAL,MOTHER & FATHER,NO,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$50000 TO 59999
Special education teachers,4.0,43.0,16.0,,14.0,BACHELOR,,JUNIOR COLLEGE,EDUCATION,,High School diploma,"Public, 4-year or above",0-39.9%,FEMALE,BLACK,50000 TO 250000,E. SOU. CENTRAL,MOTHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$40000 TO 49999
Health practitioner support technologists and technicians,1.0,22.0,16.0,12.0,14.0,BACHELOR,HIGH SCHOOL,JUNIOR COLLEGE,BIOLOGY,,High School diploma,"Public, 4-year or above",0-39.9%,FEMALE,BLACK,50000 TO 250000,E. SOU. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$10000 TO 12499
Human resources workers,12.0,39.0,18.0,,16.0,GRADUATE,,BACHELOR,COMPUTER SCIENCE,,High School diploma,,,MALE,BLACK,TOWN LT 50000,E. SOU. CENTRAL,MOTHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,EXTREMELY LIBERAL,$60000 TO 74999
Lawyers,4.0,34.0,20.0,19.0,18.0,GRADUATE,GRADUATE,GRADUATE,FOREIGN LANGUAGE,LAW,High School diploma,"Private not-for-profit, 4-year or above",58% or over,MALE,WHITE,50000 TO 250000,E. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,1.0,MODERATE,$75000 TO $89999
Stationary engineers and boiler operators,6.0,40.0,16.0,9.0,20.0,BACHELOR,LT HIGH SCHOOL,GRADUATE,ENGINEERING,BUSINESS ADMINISTRATION,High School diploma,"Public, 4-year or above",40-57.9%,MALE,WHITE,"COUNTRY,NONFARM",MIDDLE ATLANTIC,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$110000 TO $129999
Dental assistants,6.0,28.0,14.0,16.0,12.0,JUNIOR COLLEGE,BACHELOR,HIGH SCHOOL,Food Science/Nutrition/Culinary Arts,,High School diploma,"Private for-profit, 4-year or above",,FEMALE,WHITE,"COUNTRY,NONFARM",E. SOU. CENTRAL,MOTHER & FATHER,NO,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$22500 TO 24999
Medical records and health information technicians,6.0,43.0,18.0,13.0,11.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,SOCIAL WORK,BUSINESS ADMINISTRATION,High School diploma,,,FEMALE,BLACK,BIG-CITY SUBURB,E. SOU. CENTRAL,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$30000 TO 34999
"Bookkeeping, accounting, and auditing clerks",15.0,42.0,16.0,16.0,18.0,BACHELOR,BACHELOR,GRADUATE,PHYSICAL EDUCATION,,High School diploma,"Private not-for-profit, 4-year or above",58% or over,FEMALE,BLACK,TOWN LT 50000,E. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$40000 TO 49999
Retail salespersons,1.0,44.0,16.0,,16.0,BACHELOR,,BACHELOR,BUSINESS ADMINISTRATION,,High School diploma,"Public, 4-year or above",58% or over,MALE,WHITE,50000 TO 250000,E. SOU. CENTRAL,MOTHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,EXTRMLY CONSERVATIVE,$110000 TO $129999
"Sales representatives,  wholesale and manufacturing",1.0,29.0,16.0,15.0,16.0,BACHELOR,HIGH SCHOOL,BACHELOR,BUSINESS ADMINISTRATION,,High School diploma,"Public, 4-year or above",40-57.9%,MALE,WHITE,TOWN LT 50000,SOUTH ATLANTIC,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$90000 TO $109999
Driver/sales workers and truck drivers,1.0,35.0,16.0,16.0,12.0,BACHELOR,BACHELOR,HIGH SCHOOL,ACCOUNTING/BOOKKEEPING,BUSINESS ADMINISTRATION,High School diploma,"Public, 4-year or above",0-39.9%,MALE,WHITE,TOWN LT 50000,SOUTH ATLANTIC,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$25000 TO 29999
Driver/sales workers and truck drivers,1.0,32.0,16.0,16.0,18.0,BACHELOR,BACHELOR,GRADUATE,ACCOUNTING/BOOKKEEPING,,High School diploma,"Private not-for-profit, 4-year or above",40-57.9%,MALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$50000 TO 59999
Secretaries and administrative assistants,2.0,31.0,14.0,11.0,16.0,JUNIOR COLLEGE,HIGH SCHOOL,BACHELOR,GENERAL SCIENCES,,High School diploma,"Public, 2-year",,FEMALE,WHITE,"COUNTRY,NONFARM",SOUTH ATLANTIC,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$5 000 TO 5 999
Registered nurses,6.0,26.0,16.0,11.0,14.0,BACHELOR,LT HIGH SCHOOL,HIGH SCHOOL,NURSING,,High School diploma,"Public, 4-year or above",40-57.9%,FEMALE,WHITE,TOWN LT 50000,SOUTH ATLANTIC,MOTHER & FATHER,YES,FAR BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$50000 TO 59999
Waiters and waitresses,5.0,44.0,17.0,,12.0,BACHELOR,,HIGH SCHOOL,BUSINESS ADMINISTRATION,,High School diploma,,,FEMALE,WHITE,50000 TO 250000,E. NOR. CENTRAL,MOTHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$12500 TO 14999
Human resources managers,2.0,41.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,HEALTH,BUSINESS ADMINISTRATION,High School diploma,"Public, 4-year or above",58% or over,FEMALE,WHITE,"COUNTRY,NONFARM",MIDDLE ATLANTIC,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,,LIBERAL,$60000 TO 74999
"Other installation, maintenance, and repair workers",0.0,30.0,17.0,15.0,14.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,PSYCHOLOGY,,High School diploma,"Public, 4-year or above",58% or over,MALE,WHITE,BIG-CITY SUBURB,E. NOR. CENTRAL,MOTHER & STPFATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$12500 TO 14999
Education administrators,2.0,32.0,20.0,16.0,18.0,GRADUATE,BACHELOR,BACHELOR,COMPUTER SCIENCE,,High School diploma,"Private not-for-profit, 4-year or above",58% or over,FEMALE,WHITE,"COUNTRY,NONFARM",PACIFIC,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,LIBERAL,$40000 TO 49999
Bartenders,2.0,24.0,17.0,14.0,16.0,HIGH SCHOOL,JUNIOR COLLEGE,BACHELOR,,,High School diploma,,,MALE,WHITE,50000 TO 250000,E. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$6 000 TO 6 999
"Metal workers and plastic workers, all other",2.0,43.0,18.0,14.0,14.0,JUNIOR COLLEGE,HIGH SCHOOL,JUNIOR COLLEGE,HEALTH,HEALTH,GED,,,FEMALE,WHITE,BIG-CITY SUBURB,E. NOR. CENTRAL,MOTHER & STPFATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,LIBERAL,$3 000 TO 3 999
Registered nurses,1.0,33.0,16.0,12.0,10.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,NURSING,,High School diploma,"Public, 4-year or above",58% or over,FEMALE,WHITE,"COUNTRY,NONFARM",E. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$60000 TO 74999
Elementary and middle school teachers,4.0,29.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,EDUCATION,,High School diploma,"Public, 4-year or above",58% or over,FEMALE,WHITE,"COUNTRY,NONFARM",E. NOR. CENTRAL,MOTHER & STPFATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,LIBERAL,$35000 TO 39999
"Office clerks, general",1.0,44.0,17.0,12.0,15.0,HIGH SCHOOL,HIGH SCHOOL,HIGH SCHOOL,,,High School diploma,,,FEMALE,WHITE,"COUNTRY,NONFARM",E. NOR. CENTRAL,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$15000 TO 17499
Retail salespersons,1.0,31.0,16.0,12.0,9.0,JUNIOR COLLEGE,LT HIGH SCHOOL,LT HIGH SCHOOL,Mechanics/Machine Trade,,GED,,,FEMALE,BLACK,TOWN LT 50000,E. NOR. CENTRAL,M AND F RELATIVES,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$5 000 TO 5 999
Elementary and middle school teachers,2.0,39.0,18.0,12.0,12.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,EDUCATION,,High School diploma,"Private for-profit, 4-year or above",,FEMALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$40000 TO 49999
Grounds maintenance workers,3.0,44.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,SOCIOLOGY,,High School diploma,"Public, 4-year or above",40-57.9%,MALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,,SLGHTLY CONSERVATIVE,$40000 TO 49999
First-line supervisors of office and administrative support workers,4.0,41.0,14.0,16.0,16.0,JUNIOR COLLEGE,BACHELOR,BACHELOR,OTHER,,High School diploma,,,FEMALE,WHITE,FARM,E. NOR. CENTRAL,MOTHER & FATHER,NO,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$25000 TO 29999
Cooks,2.0,39.0,16.0,12.0,16.0,BACHELOR,HIGH SCHOOL,BACHELOR,Food Science/Nutrition/Culinary Arts,,High School diploma,"Private not-for-profit, 4-year or above",40-57.9%,FEMALE,WHITE,"COUNTRY,NONFARM",E. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$1 000 TO 2 999
Retail salespersons,1.0,32.0,14.0,,16.0,JUNIOR COLLEGE,,BACHELOR,COMPUTER SCIENCE,,High School diploma,"Public, 2-year",,MALE,WHITE,TOWN LT 50000,E. NOR. CENTRAL,MOTHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$6 000 TO 6 999
Police and sheriff's patrol officers,2.0,43.0,14.0,,10.0,JUNIOR COLLEGE,,LT HIGH SCHOOL,LAW ENFORCEMENT,,High School diploma,"Public, 2-year",,MALE,WHITE,50000 TO 250000,E. NOR. CENTRAL,MOTHER,NO,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$50000 TO 59999
Chief executives,1.0,37.0,16.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,Food Science/Nutrition/Culinary Arts,,High School diploma,"Public, 4-year or above",58% or over,MALE,WHITE,"COUNTRY,NONFARM",E. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLGHTLY CONSERVATIVE,$90000 TO $109999
Miscellaneous assemblers and fabricators,3.0,30.0,17.0,12.0,12.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,Human Services/Human Resources,,High School diploma,"Private for-profit, 4-year or above",40-57.9%,FEMALE,WHITE,TOWN LT 50000,W. NOR. CENTRAL,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,2.0,MODERATE,$10000 TO 12499
Pharmacists,1.0,31.0,18.0,12.0,12.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,PHARMACY,,High School diploma,"Public, 4-year or above",40-57.9%,FEMALE,WHITE,TOWN LT 50000,W. NOR. CENTRAL,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,EXTRMLY CONSERVATIVE,$110000 TO $129999
Civil engineers,21.0,27.0,16.0,0.0,0.0,HIGH SCHOOL,LT HIGH SCHOOL,LT HIGH SCHOOL,,,High School diploma,,,MALE,BLACK,TOWN LT 50000,FOREIGN,MOTHER & FATHER,NO,BELOW AVERAGE,NO,NEITHER IN U.S,4.0,MODERATE,$35000 TO 39999
"Nursing, psychiatric, and home health aides",3.0,38.0,17.0,,15.0,JUNIOR COLLEGE,,JUNIOR COLLEGE,NURSING,,High School diploma,"Public, 2-year",,FEMALE,WHITE,BIG-CITY SUBURB,W. NOR. CENTRAL,MOTHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$5 000 TO 5 999
Packaging and filling machine operators and tenders,5.0,34.0,15.0,0.0,0.0,BACHELOR,LT HIGH SCHOOL,LT HIGH SCHOOL,ENGLISH,ECONOMICS,High School diploma,,,MALE,OTHER,TOWN LT 50000,FOREIGN,MOTHER & FATHER,NO,AVERAGE,NO,NEITHER IN U.S,4.0,LIBERAL,$25000 TO 29999
Diagnostic related technologists and technicians,1.0,26.0,19.0,12.0,15.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,MEDICINE,,High School diploma,"Public, 2-year",,FEMALE,WHITE,"COUNTRY,NONFARM",W. NOR. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$40000 TO 49999
"Nursing, psychiatric, and home health aides",4.0,28.0,16.0,12.0,14.0,BACHELOR,HIGH SCHOOL,JUNIOR COLLEGE,SOCIAL WORK,,High School diploma,"Public, 4-year or above",0-39.9%,MALE,WHITE,50000 TO 250000,W. NOR. CENTRAL,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$20000 TO 22499
Preschool and kindergarten teachers,5.0,30.0,17.0,,16.0,BACHELOR,,BACHELOR,EDUCATION,EDUCATION,High School diploma,"Public, 4-year or above",40-57.9%,FEMALE,BLACK,"COUNTRY,NONFARM",W. SOU. CENTRAL,MOTHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$40000 TO 49999
Mechanical engineers,2.0,25.0,16.0,10.0,4.0,BACHELOR,LT HIGH SCHOOL,LT HIGH SCHOOL,ENGINEERING,,High School diploma,"Public, 4-year or above",58% or over,MALE,OTHER,"COUNTRY,NONFARM",FOREIGN,MOTHER & FATHER,YES,BELOW AVERAGE,NO,NEITHER IN U.S,4.0,SLIGHTLY LIBERAL,$1 000 TO 2 999
First-line supervisors of retail sales workers,2.0,35.0,16.0,18.0,17.0,BACHELOR,GRADUATE,GRADUATE,HEALTH,,High School diploma,"Public, 4-year or above",58% or over,FEMALE,BLACK,50000 TO 250000,W. SOU. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$20000 TO 22499
Preschool and kindergarten teachers,3.0,38.0,18.0,14.0,12.0,GRADUATE,HIGH SCHOOL,HIGH SCHOOL,EDUCATION,,High School diploma,"Private for-profit, 4-year or above",0-39.9%,FEMALE,BLACK,CITY GT 250000,W. SOU. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$40000 TO 49999
Elementary and middle school teachers,3.0,29.0,16.0,16.0,14.0,BACHELOR,BACHELOR,JUNIOR COLLEGE,EDUCATION,,High School diploma,"Public, 4-year or above",0-39.9%,FEMALE,WHITE,TOWN LT 50000,W. SOU. CENTRAL,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$35000 TO 39999
"Hairdressers, hairstylists, and cosmetologists",2.0,30.0,15.0,11.0,12.0,JUNIOR COLLEGE,HIGH SCHOOL,HIGH SCHOOL,GENERAL SCIENCES,,High School diploma,,,FEMALE,WHITE,50000 TO 250000,W. SOU. CENTRAL,MOTHER & FATHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$30000 TO 34999
Elementary and middle school teachers,8.0,37.0,17.0,,13.0,BACHELOR,,HIGH SCHOOL,ANTHROPOLGY,,GED,"Public, 4-year or above",0-39.9%,FEMALE,WHITE,50000 TO 250000,W. SOU. CENTRAL,MOTHER,YES,BELOW AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$50000 TO 59999
Health practitioner support technologists and technicians,2.0,35.0,15.0,18.0,16.0,JUNIOR COLLEGE,GRADUATE,JUNIOR COLLEGE,VETERINARY MEDICINE,,High School diploma,"Public, 4-year or above",,FEMALE,WHITE,TOWN LT 50000,MOUNTAIN,MOTHER & FATHER,YES,AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$25000 TO 29999
Producers and directors,3.0,41.0,18.0,18.0,12.0,GRADUATE,GRADUATE,HIGH SCHOOL,COMMUNICATIONS/SPEECH,,High School diploma,"Public, 4-year or above",40-57.9%,FEMALE,WHITE,BIG-CITY SUBURB,NEW ENGLAND,MOTHER & FATHER,NO,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$50000 TO 59999
Nuclear engineers,1.0,29.0,19.0,16.0,12.0,GRADUATE,BACHELOR,HIGH SCHOOL,BUSINESS ADMINISTRATION,,High School diploma,,,FEMALE,WHITE,CITY GT 250000,MOUNTAIN,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$60000 TO 74999
Police and sheriff's patrol officers,3.0,31.0,15.0,17.0,12.0,JUNIOR COLLEGE,BACHELOR,HIGH SCHOOL,Criminology/Criminal Justice,,High School diploma,"Private for-profit, 4-year or above",40-57.9%,MALE,WHITE,TOWN LT 50000,FOREIGN,MOTHER & FATHER,NO,BELOW AVERAGE,YES,BOTH IN U.S,4.0,MODERATE,$40000 TO 49999
Secondary school teachers,2.0,43.0,16.0,19.0,14.0,GRADUATE,GRADUATE,JUNIOR COLLEGE,CHEMISTRY,,High School diploma,"Public, 4-year or above",58% or over,FEMALE,WHITE,TOWN LT 50000,MOUNTAIN,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,SLIGHTLY LIBERAL,$40000 TO 49999
"Software developers, applications and systems software",1.0,43.0,16.0,16.0,14.0,BACHELOR,BACHELOR,JUNIOR COLLEGE,MEDICINE,,High School diploma,,,FEMALE,OTHER,BIG-CITY SUBURB,E. SOU. CENTRAL,MOTHER & STPFATHER,YES,AVERAGE,NO,FATHER ONLY,2.0,SLGHTLY CONSERVATIVE,$75000 TO $89999
Physician assistants,3.0,34.0,20.0,18.0,19.0,GRADUATE,GRADUATE,GRADUATE,HEALTH,,High School diploma,"Public, 4-year or above",40-57.9%,FEMALE,WHITE,CITY GT 250000,MOUNTAIN,MOTHER & FATHER,YES,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,CONSERVATIVE,$75000 TO $89999
"Shipping, receiving, and traffic clerks",0.0,24.0,16.0,18.0,13.0,BACHELOR,GRADUATE,HIGH SCHOOL,POLITICAL SCIENCE/INTERNATIONAL RELATIONS,,High School diploma,"Public, 4-year or above",40-57.9%,MALE,OTHER,CITY GT 250000,MOUNTAIN,MOTHER & FATHER,NO,ABOVE AVERAGE,YES,BOTH IN U.S,ALL IN U.S,MODERATE,$15000 TO 17499
"Pipelayers, plumbers, pipefitters, and steamfitters",3.0,33.0,16.0,11.0,14.0,BACHELOR,HIGH SCHOOL,HIGH SCHOOL,ANTHROPOLGY,,High School diploma,"Public, 4-year or above",58% or over,MALE,WHITE,BIG-CITY SUBURB,MIDDLE ATLANTIC,MOTHER & FATHER,NO,ABOVE AVERAGE,YES,BOTH IN U.S,1.0,MODERATE,$50000 TO 59999
Bartenders,1.0,27.0,15.0,,16.0,JUNIOR COLLEGE,,BACHELOR,ENGINEERING,,High School diploma,"Public, 2-year",,MALE,WHITE,CITY GT 250000,PACIFIC,MOTHER,YES,AVERAGE,YES,BOTH IN U.S,2.0,LIBERAL,$30000 TO 34999
